Dataset: West Coast Triennial,,,,,,
Species Name: Chinook salmon (Oncorhynchus tshawytscha),,,,,,
,,,,,,
HaulID,Stratum,LAT,LON,Depth,Year,wtcpue
004-197701-189,44.5-150,44.07,-124.38,101,1977,0
004-197701-190,44.5-50,44.38,-124.52,99,1977,0
004-197701-191,44.5-150,44.38,-124.62,117,1977,0
004-197701-192,44.5-150,44.39,-124.76,168,1977,0
004-197701-193,44.5-250,44.39,-124.8,238,1977,0
004-197701-194,44.5-350,44.39,-124.81,311,1977,0
004-197701-195,44.5-350,44.41,-124.81,369,1977,0
004-197701-197,44.5-350,44.86,-124.55,318,1977,0
004-197701-198,44.5-250,44.81,-124.52,201,1977,0
004-197701-199,44.5-150,44.76,-124.46,144,1977,0
004-197701-200,44.5-50,44.72,-124.35,97,1977,0
004-197701-201,44.5-150,44.97,-124.15,106,1977,1.26488095238095
004-197701-202,44.5-150,44.99,-124.33,183,1977,0
004-197701-207,45.5-150,45.07,-124.27,168,1977,0
004-197701-209,45.5-350,45.17,-124.57,371,1977,0
004-197701-210,45.5-350,45.17,-124.51,391,1977,0
004-197701-211,45.5-350,45.15,-124.46,371,1977,0
004-197701-212,45.5-350,45.15,-124.43,379,1977,0
004-197701-213,45.5-350,45.15,-124.38,382,1977,0
004-197701-216,45.5-150,45.14,-124.26,179,1977,0
004-197701-217,45.5-150,45.14,-124.19,130,1977,0
004-197701-218,45.5-50,45.31,-124.11,99,1977,0
004-197701-219,45.5-150,45.31,-124.18,141,1977,0
004-197701-220,45.5-350,45.32,-124.38,327,1977,0
004-197701-222,46.5-150,46.29,-124.6,187,1977,0
004-197701-223,46.5-150,46.35,-124.59,172,1977,0
004-197701-224,46.5-150,46.32,-124.53,139,1977,0
004-197701-225,46.5-150,46.35,-124.43,119,1977,0
004-197701-226,46.5-50,46.37,-124.37,99,1977,0
004-197701-227,46.5-150,46.52,-124.49,166,1977,0
004-197701-228,46.5-250,46.52,-124.5,221,1977,0
004-197701-231,46.5-150,46.84,-124.54,102,1977,0
004-197701-232,46.5-150,46.86,-124.62,112,1977,0
004-197701-233,46.5-150,46.86,-124.73,146,1977,0
004-197701-236,47.5-150,47.18,-124.7,115,1977,1.46123431321987
004-197701-256,48.5-250,48.27,-125.03,287,1977,0
004-197701-237,47.5-150,47.21,-124.75,126,1977,0
004-197701-257,48.5-250,48.25,-125,216,1977,0
004-197701-238,47.5-150,47.19,-124.9,179,1977,0
004-197701-258,48.5-150,48.26,-124.9,112,1977,0
004-197701-244,47.5-150,47.49,-124.86,157,1977,0
004-197701-259,48.5-250,48.24,-124.96,221,1977,0
004-197701-260,48.5-150,48.25,-125.1,121,1977,0
004-197701-261,48.5-150,48.26,-125.17,123,1977,0
004-197701-262,48.5-250,48.3,-125.2,201,1977,0
004-197701-263,48.5-150,48.28,-125.24,179,1977,0
004-197701-266,48.5-250,48.16,-125.67,205,1977,0
004-197701-271,48.5-150,48.17,-124.94,117,1977,5.23788035069624
004-197701-272,48.5-250,48.15,-124.97,219,1977,0
004-197701-274,48.5-250,48.16,-125.05,234,1977,0
004-197701-277,48.5-250,48.13,-125.1,256,1977,0
004-197701-281,48.5-150,48.17,-125.39,117,1977,0
004-197701-283,48.5-250,48.1,-125.64,205,1977,0
004-197701-284,48.5-150,48.08,-125.59,177,1977,0
004-197701-286,48.5-150,48.37,-124.8,104,1977,2.27990267052767
004-197701-287,48.5-250,48.41,-124.8,256,1977,0
004-197701-288,48.5-50,48.48,-124.96,95,1977,0
004-197701-248,48.5-150,48.33,-124.85,139,1977,0
004-197701-250,48.5-250,48.34,-124.94,210,1977,0
004-197701-251,48.5-150,48.35,-124.95,128,1977,0
004-197701-252,48.5-250,48.38,-125,282,1977,0
004-197701-253,48.5-250,48.39,-125.01,225,1977,0
004-197701-255,48.5-150,48.42,-125.12,112,1977,0
022-197701-048,36.5-50,36.72,-121.92,97,1977,0
022-197701-059,37.5-150,37.15,-122.72,176,1977,0
022-197701-060,37.5-150,37.2,-122.66,110,1977,0
022-197701-061,37.5-50,37.25,-122.61,95,1977,0
022-197701-062,37.5-150,37.49,-122.87,102,1977,0
022-197701-071,37.5-50,37.63,-122.98,97,1977,0
022-197701-072,37.5-50,37.91,-123.15,95,1977,0
022-197701-073,37.5-150,37.9,-123.31,104,1977,0
022-197701-074,37.5-150,37.89,-123.4,124,1977,0
022-197701-078,38.5-50,38.14,-123.17,95,1977,0
022-197701-079,38.5-150,38.18,-123.25,112,1977,0
022-197701-080,38.5-150,38.15,-123.36,187,1977,0
022-197701-081,38.5-250,38.15,-123.43,285,1977,0
022-197701-083,38.5-250,38.2,-123.39,216,1977,0
022-197701-085,38.5-350,38.18,-123.44,393,1977,0
022-197701-087,38.5-250,38.28,-123.51,296,1977,0
022-197701-088,38.5-250,38.3,-123.45,209,1977,0
022-197701-090,38.5-150,38.35,-123.41,144,1977,0
022-197701-091,38.5-150,38.32,-123.44,176,1977,0
022-197701-093,38.5-350,38.53,-123.67,331,1977,0
022-197701-094,38.5-250,38.54,-123.65,214,1977,0
022-197701-095,38.5-150,38.56,-123.62,157,1977,0
022-197701-096,38.5-150,38.63,-123.54,110,1977,0
022-197701-099,38.5-150,38.8,-123.83,141,1977,0
022-197701-100,38.5-250,38.76,-123.83,219,1977,0
022-197701-101,38.5-350,38.76,-123.84,302,1977,0
022-197701-102,38.5-350,38.95,-123.95,302,1977,0
022-197701-104,38.5-50,38.97,-123.8,97,1977,0
022-197701-105,39.5-150,39,-123.86,121,1977,0
022-197701-106,38.5-250,38.95,-123.94,229,1977,0
022-197701-110,39.5-150,39.12,-123.93,146,1977,0
022-197701-111,39.5-150,39.14,-123.84,108,1977,0
022-197701-112,39.5-150,39.48,-123.88,110,1977,0
022-197701-113,39.5-150,39.48,-123.95,163,1977,0
022-197701-118,39.5-150,39.55,-123.91,143,1977,0
022-197701-123,39.5-150,39.64,-123.9,132,1977,0
022-197701-124,39.5-50,39.64,-123.86,93,1977,0
022-197701-125,39.5-150,39.69,-123.98,172,1977,0
022-197701-129,39.5-150,39.73,-123.88,110,1977,1.32682383298147
022-197701-132,39.5-150,39.76,-124.04,198,1977,0
022-197701-133,39.5-150,39.8,-123.98,146,1977,0
022-197701-134,39.5-150,39.77,-123.99,159,1977,0
022-197701-136,42.5-250,42.85,-124.78,207,1977,0
022-197701-137,42.5-250,42.87,-124.82,258,1977,0
022-197701-142,43.5-150,43.78,-124.56,190,1977,0
022-197701-143,43.5-350,43.76,-124.63,346,1977,0
022-197701-145,43.5-250,43.89,-124.87,273,1977,0
022-197701-146,43.5-250,43.89,-124.79,232,1977,0
022-197701-147,43.5-250,43.9,-124.7,227,1977,0
022-197701-148,43.5-250,43.9,-124.62,221,1977,0
022-197701-149,43.5-150,43.9,-124.48,128,1977,0
022-197701-150,43.5-150,43.94,-124.29,104,1977,0
022-197701-151,43.5-150,43.91,-124.4,117,1977,0
022-197701-152,44.5-50,44.24,-124.44,97,1977,0
022-197701-181,45.5-150,45.22,-124.14,110,1977,0
022-197701-158,44.5-150,44.55,-124.51,119,1977,0
022-197701-182,45.5-150,45.31,-124.31,192,1977,0
022-197701-159,44.5-150,44.56,-124.56,146,1977,0
022-197701-186,46.5-150,46.44,-124.53,192,1977,0
022-197701-160,44.5-250,44.58,-124.64,269,1977,0
022-197701-187,46.5-250,46.42,-124.55,289,1977,0
022-197701-161,44.5-350,44.58,-124.66,307,1977,0
022-197701-189,46.5-150,46.6,-124.49,130,1977,0
022-197701-190,46.5-50,46.61,-124.44,99,1977,0
022-197701-191,46.5-150,46.59,-124.61,194,1977,0
022-197701-192,46.5-250,46.59,-124.62,274,1977,0
022-197701-194,46.5-150,46.69,-124.5,104,1977,0
022-197701-195,46.5-150,46.65,-124.65,148,1977,0
022-197701-196,46.5-250,46.65,-124.72,207,1977,0
022-197701-199,47.5-50,47.02,-124.62,93,1977,0
022-197701-200,47.5-150,47.02,-124.7,115,1977,0
022-197701-201,47.5-150,47.01,-124.75,132,1977,0
022-197701-162,44.5-250,44.6,-124.71,278,1977,0
022-197701-204,47.5-150,47.34,-124.73,141,1977,0
022-197701-163,44.5-350,44.63,-124.8,337,1977,0
022-197701-205,47.5-150,47.5,-124.81,128,1977,0
022-197701-166,44.5-350,44.92,-124.48,315,1977,0
022-197701-206,47.5-150,47.65,-124.85,113,1977,0.365308578304968
022-197701-167,44.5-250,44.88,-124.46,214,1977,0
022-197701-207,47.5-150,47.64,-124.9,132,1977,0
022-197701-208,47.5-150,47.61,-124.99,179,1977,0
022-197701-169,44.5-150,44.83,-124.29,126,1977,0
022-197701-212,47.5-50,47.83,-124.87,95,1977,0
022-197701-170,44.5-50,44.82,-124.23,99,1977,0
022-197701-213,47.5-150,47.81,-125,128,1977,1.17209045780474
022-197701-171,45.5-150,45.06,-124.21,139,1977,0
022-197701-214,47.5-150,47.89,-125.06,134,1977,0
022-197701-174,45.5-350,45.08,-124.5,344,1977,0
022-197701-176,45.5-350,45.23,-124.42,399,1977,0
022-197701-177,45.5-350,45.23,-124.36,366,1977,0
022-197701-178,45.5-350,45.23,-124.35,304,1977,0
022-197701-180,45.5-150,45.22,-124.22,166,1977,0
022-197701-215,47.5-150,47.9,-124.99,115,1977,0
022-197701-216,47.5-150,47.98,-124.98,112,1977,0
022-197701-217,48.5-150,48.01,-125.05,124,1977,0
022-197701-218,47.5-150,47.9,-125.12,166,1977,0
022-197701-222,47.5-150,47.99,-125.18,161,1977,0
022-197701-223,48.5-150,48.09,-124.98,126,1977,0.97674204817062
022-197701-225,48.5-150,48.09,-125.16,134,1977,0
022-197701-226,47.5-150,47.99,-125.26,165,1977,0
022-197701-228,48.5-150,48.09,-125.31,194,1977,0
022-197701-233,48.5-250,48.01,-125.64,256,1977,0
022-197701-234,47.5-150,47.98,-125.57,198,1977,0
022-197701-235,48.5-150,48,-125.51,168,1977,0
022-197701-237,48.5-250,48.43,-124.88,283,1977,0
025-197705-001,42.5-150,42.69,-124.62,124,1977,0
025-197705-002,42.5-250,42.69,-124.71,293,1977,0
025-197705-006,43.5-350,43.65,-124.63,315,1977,0.0100546975546976
025-197705-007,43.5-250,43.61,-124.58,219,1977,0
025-197705-008,43.5-150,43.61,-124.48,135,1977,0
025-197705-011,43.5-250,43.49,-124.64,293,1977,0
025-197705-012,43.5-250,43.49,-124.6,201,1977,0
025-197705-013,43.5-150,43.46,-124.53,128,1977,0
025-197705-014,43.5-50,43.45,-124.4,99,1977,0
025-197705-016,42.5-250,42.57,-124.72,219,1977,0
025-197705-019,42.5-250,42.32,-124.66,238,1977,0
025-197705-024,42.5-250,42.21,-124.61,209,1977,0
025-197705-025,42.5-150,42.21,-124.54,152,1977,1.26488095238095
025-197705-033,41.5-150,41.89,-124.45,113,1977,0
025-197705-038,41.5-250,41.59,-124.48,254,1977,0
025-197705-039,41.5-150,41.56,-124.45,157,1977,0
025-197705-040,41.5-250,41.37,-124.48,274,1977,0
025-197705-041,41.5-250,41.4,-124.47,201,1977,0
025-197705-042,41.5-150,41.37,-124.43,163,1977,0
025-197705-044,41.5-50,41.26,-124.28,95,1977,0
025-197705-045,41.5-150,41.23,-124.32,123,1977,0.341859716859717
025-197705-047,41.5-250,41.24,-124.39,219,1977,0
025-197705-055,40.5-250,40.95,-124.42,283,1977,0
025-197705-065,40.5-150,40.45,-124.58,117,1977,3.94069664902998
025-197705-078,39.5-150,39.87,-124.1,146,1977,0
620-197702-068,45.5-150,45.52,-124.24,134,1977,0
620-197702-069,45.5-150,45.49,-124.24,148,1977,0
620-197702-070,45.5-150,45.39,-124.2,144,1977,0
620-197702-073,45.5-350,45.57,-124.58,377,1977,0
620-197702-074,45.5-150,45.48,-124.34,179,1977,0
620-197702-076,45.5-150,45.42,-124.31,174,1977,0
620-197702-001,46.5-150,46.14,-124.29,108,1977,0
620-197702-002,46.5-150,46.06,-124.31,112,1977,0
620-197702-003,45.5-150,45.98,-124.27,123,1977,0
620-197702-004,45.5-150,45.9,-124.22,115,1977,0
620-197702-005,45.5-150,45.88,-124.31,141,1977,0
620-197702-006,45.5-150,45.96,-124.33,135,1977,0
620-197702-007,45.5-150,45.96,-124.44,148,1977,0
620-197702-008,45.5-150,45.89,-124.43,146,1977,0
620-197702-009,45.5-150,45.83,-124.63,185,1977,0
620-197702-011,45.5-350,45.83,-124.74,333,1977,0
620-197702-012,45.5-350,45.82,-124.75,369,1977,0
620-197702-013,45.5-350,45.89,-124.74,382,1977,0
620-197702-016,45.5-150,45.89,-124.59,166,1977,0
620-197702-017,46.5-150,46.11,-124.39,117,1977,0
620-197702-018,46.5-150,46.02,-124.42,137,1977,0
620-197702-019,46.5-150,46.02,-124.49,148,1977,0
620-197702-020,46.5-150,46.01,-124.62,172,1977,0
620-197702-022,46.5-150,46.16,-124.55,150,1977,0
620-197702-023,46.5-150,46.17,-124.46,130,1977,0
620-197702-024,46.5-150,46.17,-124.41,126,1977,0
620-197702-025,46.5-150,46.31,-124.36,119,1977,0
620-197702-026,46.5-150,46.29,-124.37,161,1977,0
620-197702-027,46.5-150,46.3,-124.44,155,1977,0
620-197702-028,46.5-150,46.15,-124.55,141,1977,0
620-197702-029,46.5-150,46.21,-124.4,146,1977,0
620-197702-030,46.5-150,46.14,-124.62,163,1977,0
620-197702-031,46.5-250,46.17,-124.64,219,1977,0
620-197702-032,46.5-250,46.09,-124.69,210,1977,0
620-197702-033,46.5-150,46.12,-124.65,165,1977,0
620-197702-034,46.5-150,46.07,-124.67,192,1977,0
620-197702-035,46.5-150,46.07,-124.65,177,1977,0
620-197702-036,46.5-250,46,-124.72,278,1977,0
620-197702-037,45.5-350,45.99,-124.77,388,1977,0
620-197702-039,45.5-150,45.58,-124.16,106,1977,0
620-197702-040,45.5-50,45.5,-124.13,99,1977,0
620-197702-044,45.5-350,45.51,-124.49,384,1977,0
620-197702-047,45.5-150,45.77,-124.54,183,1977,0
620-197702-049,45.5-350,45.76,-124.71,326,1977,0
620-197702-050,45.5-350,45.77,-124.71,375,1977,0
620-197702-051,45.5-350,45.69,-124.7,357,1977,0
620-197702-055,45.5-150,45.71,-124.47,177,1977,0
620-197702-056,45.5-150,45.78,-124.43,154,1977,0
620-197702-057,45.5-150,45.81,-124.36,144,1977,0
620-197702-058,45.5-150,45.83,-124.25,126,1977,0
620-197702-059,45.5-150,45.76,-124.16,104,1977,0
620-197702-060,45.5-150,45.67,-124.22,123,1977,0
620-197702-061,45.5-150,45.74,-124.4,155,1977,0
620-197702-062,45.5-150,45.64,-124.4,174,1977,0
620-197702-063,45.5-150,45.67,-124.48,199,1977,0
620-197702-066,45.5-150,45.57,-124.4,188,1977,0
620-197702-067,45.5-150,45.55,-124.32,165,1977,0
005-198001-001,36.5-50,36.84,-121.87,64,1980,0
005-198001-004,37.5-50,37.02,-122.31,80,1980,0
005-198001-005,37.5-50,37.39,-122.55,60,1980,0
005-198001-006,37.5-50,37.37,-122.62,73,1980,0
005-198001-007,37.5-50,37.35,-122.69,90,1980,0
005-198001-008,37.5-150,37.34,-122.73,101,1980,0
005-198001-012,37.5-50,37.64,-122.93,86,1980,0
005-198001-013,37.5-150,37.6,-122.97,115,1980,0
005-198001-014,37.5-150,37.58,-122.99,183,1980,0
005-198001-019,38.5-250,38.23,-123.38,203,1980,0
005-198001-022,38.5-50,38.32,-123.17,88,1980,0
005-198001-023,38.5-50,38.35,-123.12,64,1980,0
005-198001-024,38.5-50,38.49,-123.3,86,1980,0
005-198001-027,38.5-350,38.33,-123.53,309,1980,0
005-198001-028,38.5-50,38.95,-123.78,82,1980,0
005-198001-030,39.5-150,39.36,-123.9,128,1980,0
005-198001-033,39.5-150,39.56,-123.87,121,1980,0
005-198001-034,39.5-50,39.57,-123.8,60,1980,0
005-198001-037,40.5-150,40.16,-124.34,192,1980,0
005-198001-040,40.5-150,40.54,-124.6,139,1980,0
005-198001-041,40.5-250,40.56,-124.65,256,1980,0
005-198001-044,41.5-250,41.07,-124.35,219,1980,0
005-198001-045,41.5-250,41.44,-124.47,283,1980,0
005-198001-046,41.5-50,41.45,-124.34,95,1980,0.111236355007119
005-198001-049,41.5-50,41.81,-124.39,75,1980,0
005-198001-054,43.5-150,43.39,-124.63,187,1980,0
005-198001-056,43.5-150,43.28,-124.67,185,1980,0
005-198001-057,43.5-50,43.27,-124.48,64,1980,0
005-198001-058,43.5-150,43.19,-124.58,110,1980,0
005-198001-059,43.5-150,43.18,-124.64,135,1980,0
005-198001-061,43.5-150,43.1,-124.7,183,1980,0
005-198001-062,43.5-150,43.08,-124.62,132,1980,0
005-198001-065,42.5-150,42.99,-124.69,137,1980,0.611445073078737
005-198001-066,43.5-150,43,-124.75,159,1980,0
005-198001-068,42.5-250,42.91,-124.89,238,1980,0
005-198001-071,43.5-250,43.02,-124.85,201,1980,0
005-198001-074,43.5-150,43.46,-124.55,155,1980,0
005-198001-075,43.5-250,43.48,-124.6,201,1980,0
005-198001-077,43.5-150,43.57,-124.46,132,1980,0
005-198001-078,43.5-150,43.54,-124.41,117,1980,0
005-198001-079,43.5-150,43.53,-124.36,106,1980,0
005-198001-080,43.5-150,43.66,-124.56,192,1980,0
005-198001-081,43.5-150,43.65,-124.45,130,1980,0
005-198001-082,43.5-150,43.63,-124.38,113,1980,0
005-198001-083,43.5-50,43.63,-124.25,64,1980,0.218124709167054
005-198001-084,43.5-50,43.72,-124.25,66,1980,0
005-198001-086,43.5-150,43.74,-124.53,170,1980,0
005-198001-087,43.5-150,43.76,-124.56,196,1980,0
005-198001-088,43.5-150,43.84,-124.57,196,1980,0
005-198001-089,43.5-150,43.85,-124.49,130,1980,0
005-198001-090,43.5-150,43.83,-124.42,106,1980,0
005-198001-091,43.5-50,43.84,-124.36,93,1980,0
005-198001-104,44.5-50,44.57,-124.19,55,1980,0
005-198001-105,44.5-50,44.56,-124.27,75,1980,0
005-198001-108,44.5-250,44.42,-124.79,293,1980,0
005-198001-111,44.5-350,44.02,-124.94,329,1980,0
005-198001-112,44.5-150,44.04,-124.89,146,1980,0
005-198001-114,44.5-150,44.02,-124.68,146,1980,0
005-198001-117,43.5-150,43.97,-124.33,108,1980,0
005-198001-120,44.5-150,44.1,-124.4,110,1980,0
005-198001-121,44.5-150,44.08,-124.5,121,1980,0
005-198001-122,44.5-150,44.11,-124.55,124,1980,0
005-198001-125,44.5-150,44.11,-124.92,174,1980,1.39071987855545
005-198001-126,44.5-150,44.13,-124.94,198,1980,0
005-198001-132,44.5-50,44.2,-124.39,91,1980,0
005-198001-134,44.5-150,44.13,-124.47,110,1980,0
005-198001-135,44.5-150,44.18,-124.49,106,1980,0
005-198001-136,44.5-150,44.2,-124.55,106,1980,0
005-198001-137,44.5-150,44.16,-124.66,121,1980,0
005-198001-138,44.5-150,44.15,-124.73,106,1980,0
005-198001-140,44.5-150,44.22,-124.92,155,1980,0
005-198001-141,44.5-150,44.23,-124.8,101,1980,0
005-198001-142,44.5-150,44.2,-124.72,106,1980,0
005-198001-144,44.5-150,44.76,-124.3,115,1980,0
005-198001-147,44.5-250,44.79,-124.55,212,1980,0
005-198001-150,44.5-150,44.86,-124.24,128,1980,0
005-198001-153,45.5-150,45.25,-124.17,126,1980,0
005-198001-155,45.5-350,45.26,-124.35,311,1980,0
005-198001-162,46.5-150,46.19,-124.33,113,1980,0
005-198001-163,46.5-150,46.24,-124.4,168,1980,0
005-198001-165,46.5-150,46.18,-124.48,132,1980,0
005-198001-166,46.5-150,46.17,-124.58,155,1980,0
005-198001-167,46.5-250,46.16,-124.67,256,1980,0
005-198001-168,46.5-150,46.34,-124.4,124,1980,0
005-198001-169,46.5-150,46.31,-124.46,132,1980,0
005-198001-170,46.5-250,46.36,-124.59,201,1980,0
005-198001-171,46.5-150,46.39,-124.45,115,1980,0
005-198001-172,46.5-50,46.37,-124.37,95,1980,0
005-198001-173,46.5-50,46.4,-124.27,59,1980,0
005-198001-175,46.5-50,46.65,-124.28,62,1980,0
005-198001-179,46.5-150,46.42,-124.54,192,1980,0
005-198001-180,46.5-250,46.46,-124.52,256,1980,0
005-198001-186,46.5-50,46.49,-124.41,99,1980,0
005-198001-187,46.5-150,46.57,-124.47,132,1980,0
005-198001-188,46.5-150,46.58,-124.54,172,1980,0
005-198001-189,46.5-150,46.61,-124.61,176,1980,0
005-198001-191,46.5-50,46.78,-124.32,59,1980,0
005-198001-192,46.5-50,46.7,-124.35,75,1980,0
005-198001-193,46.5-50,46.67,-124.44,91,1980,0
005-198001-196,46.5-250,46.66,-124.73,210,1980,0
005-198001-197,46.5-250,46.75,-124.83,219,1980,0
005-198001-198,46.5-150,46.77,-124.71,150,1980,0
005-198001-201,46.5-150,46.84,-124.87,183,1980,0
005-198001-202,46.5-150,46.87,-124.69,135,1980,0
005-198001-204,46.5-150,46.87,-124.57,102,1980,0
005-198001-206,46.5-50,46.99,-124.44,62,1980,0
005-198001-211,47.5-150,47.05,-124.81,144,1980,0
005-198001-212,47.5-150,47.08,-124.72,117,1980,0
005-198001-213,47.5-50,47.08,-124.59,80,1980,0
005-198001-214,47.5-50,47.12,-124.52,70,1980,0
005-198001-215,47.5-50,47.19,-124.5,60,1980,0
005-198001-217,47.5-50,47.17,-124.67,99,1980,0
005-198001-219,47.5-150,47.55,-124.8,110,1980,0
005-198001-220,47.5-150,47.55,-124.89,154,1980,0
005-198001-221,47.5-150,47.53,-124.95,181,1980,0
005-198001-224,47.5-150,47.91,-125.1,144,1980,0
005-198001-225,47.5-50,47.94,-124.93,90,1980,0
005-198001-227,48.5-150,48.14,-124.96,128,1980,0
005-198001-228,48.5-250,48.14,-125.01,271,1980,0
005-198001-230,48.5-250,48.11,-125.13,229,1980,0
005-198001-231,48.5-150,48.28,-125.2,194,1980,0
005-198001-233,48.5-250,48.32,-125.03,216,1980,0
005-198001-234,48.5-50,48.36,-124.79,91,1980,0
005-198001-236,48.5-150,48.35,-124.95,155,1980,0
005-198001-238,48.5-150,48.48,-125.09,161,1980,0
005-198001-239,48.5-150,48.41,-125.31,132,1980,0
005-198001-240,48.5-150,48.36,-125.39,176,1980,0
005-198001-241,48.5-150,48.37,-125.45,135,1980,0
005-198001-242,48.5-150,48.3,-125.53,132,1980,0
005-198001-243,48.5-150,48.31,-125.6,135,1980,0
005-198001-244,48.5-250,48.26,-125.7,219,1980,0
005-198001-246,48.5-250,48.49,-126.16,241,1980,0
005-198001-247,48.5-150,48.58,-126.07,154,1980,0
005-198001-249,48.5-150,48.66,-125.97,106,1980,0
005-198001-250,48.5-50,48.7,-125.88,75,1980,0
005-198001-251,48.5-150,48.73,-125.82,112,1980,0
005-198001-252,48.5-250,48.78,-126.37,219,1980,0
005-198001-253,48.5-150,48.83,-126.36,179,1980,0
005-198001-254,48.5-150,48.87,-126.29,143,1980,1.52698274431724
005-198001-255,48.5-150,48.93,-126.25,124,1980,0
019-198001-004,36.5-50,36.91,-122.1,55,1980,0
019-198001-007,37.5-150,37.12,-122.66,146,1980,0
019-198001-008,37.5-150,37.1,-122.67,198,1980,0
019-198001-009,37.5-150,37.44,-122.83,101,1980,0
019-198001-011,37.5-50,37.53,-122.73,64,1980,0
019-198001-012,37.5-50,37.87,-122.89,60,1980,0
019-198001-014,37.5-50,37.82,-122.99,77,1980,0
019-198001-015,37.5-50,37.81,-123.07,73,1980,0
019-198001-016,37.5-150,37.76,-123.19,161,1980,0
019-198001-017,37.5-150,37.91,-123.27,104,1980,0
019-198001-018,38.5-250,38.12,-123.43,267,1980,0
019-198001-019,38.5-150,38.15,-123.39,159,1980,0
019-198001-020,38.5-250,38.13,-123.36,201,1980,0
019-198001-022,38.5-50,38.16,-123.1,77,1980,0
019-198001-023,38.5-50,38.18,-123.03,64,1980,0
019-198001-024,38.5-250,38.54,-123.65,252,1980,0
019-198001-025,38.5-150,38.6,-123.62,144,1980,0
019-198001-026,38.5-150,38.62,-123.56,117,1980,0
019-198001-030,38.5-150,38.73,-123.74,135,1980,0
019-198001-032,38.5-350,38.9,-123.94,338,1980,0
019-198001-034,39.5-150,39.12,-123.88,121,1980,0
019-198001-037,39.5-150,39.72,-123.91,130,1980,0
019-198001-038,39.5-150,39.74,-123.97,154,1980,0
019-198001-041,40.5-250,40.06,-124.26,241,1980,0
019-198001-043,40.5-150,40.69,-124.5,165,1980,0
019-198001-060,43.5-150,43.23,-124.67,155,1980,0
019-198001-045,40.5-250,40.88,-124.42,232,1980,0
019-198001-063,43.5-150,43.12,-124.66,159,1980,0
019-198001-046,40.5-150,40.91,-124.37,130,1980,0
